id,Steam_Game_Name,Status,USMap_Path,Error_Detail,Last_Updated
114,The Front,error,,"step 3: E105 FModel err: E105: Need usmap, aes:0x25DF4B66CD7E2BDC301ADEE8308E362CC8B12D680BD0135BF5E83FED5E5A0876,ue_ver:268435888,version_string:4.27.2.0",2025-05-06 10:26:32
115,Beyond The Wire,error,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-06 10:21:29
117,Grand Emprise: Time Travel Survival,error,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-06 10:21:29
168,VEILED EXPERTS,error,,DLL injection failed: playable_button_not_found,2025-05-06 12:04:10
1278,Little Nightmares,completed,C:/Dumper-7\4.24.2-0+++UE4+Release-4.24-Helios\Mappings\4.24.2-0+++UE4+Release-4.24-Helios.usmap,,2025-05-06 13:22:49
1336,Final Fantasy III (3D Remake),error,,play_button_click_failed: Failed to click play button,2025-05-06 13:07:18
1340,The First Descendant,error,,play_button_click_failed: Failed to click play button,2025-05-06 13:27:46
1361,Lies of P,completed,C:/Dumper-7\4.27.2-0+Frontline-LiesofP\Mappings\4.27.2-0+Frontline-LiesofP.usmap,"step 3: E105 FModel err: E105: Need usmap, aes:0x9140E4AFF909A85DC0F4E6E45CD5012058F39D60C7EE2BAB1DB05D85668EE53B,ue_ver:268435888,version_string:4.27.2.0",2025-05-06 15:30:28
1363,DoDodge2020,error,,play_button_click_failed: Failed to click play button,2025-05-06 15:30:51
1373,Final Fantasy III (3D Remake),error,,play_button_click_failed: Failed to click play button,2025-05-06 15:31:18
1374,Starship Troopers: Extermination,error,,EasyAntiCheat detected: EasyAntiCheat detected in game files,2025-05-06 15:46:17
1378,Night of the Dead,error,,体验人数过多无法下载,2025-05-06 15:46:22
1379,Sengoku Dynasty,error,,Game crashed during DLL injection,2025-05-06 16:18:10
1382,Bloodhound,error,,play_button_click_failed: Failed to click play button,2025-05-06 16:18:37
1383,Dark and Darker,error,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-06 16:21:09
1390,Layers of Fear,error,,Game crashed during DLL injection,2025-05-06 17:05:54
1397,Peekaboo,error,,max_attempts_reached: Timeout: Failed to complete installation after 10 attempts,2025-05-06 17:09:08
1401,6120,error,,play_button_click_failed: Failed to click play button,2025-05-06 17:09:34
1406,Starsiege: Deadzone,error,,EasyAntiCheat detected: EasyAntiCheat detected in game files,2025-05-06 17:31:39
1413,"Love, Sam",completed,C:/Dumper-7\5.0.3-20979098+++UE5+Release-5.0-LoveSamRewrite\Mappings\5.0.3-20979098+++UE5+Release-5.0-LoveSamRewrite.usmap,play_button_click_failed: Failed to click play button,2025-05-06 17:51:41
1415,Only Up!,error,,Game crashed during DLL injection,2025-05-06 18:07:22
1417,LOCKDOWN Protocol,error,,play_button_click_failed: Failed to click play button,2025-05-06 18:07:47
1419,Jusant,error,,play_button_click_failed: Failed to click play button,2025-05-06 18:08:11
