id,Steam_Game_Name,Zip_Path,Zip_Size,Status,USMap_Path,Error_Detail,Last_Updated
114,The Front,Z:/jinmianye-cfs-sh/smb_service/Game/2285150_TheFront.zip,53356.73,unprocessed,,"step 3: E105 FModel err: E105: Need usmap, aes:0x25DF4B66CD7E2BDC301ADEE8308E362CC8B12D680BD0135BF5E83FED5E5A0876,ue_ver:268435888,version_string:4.27.2.0",2025-05-07 11:00:48
115,Beyond The Wire,Z:/jinmianye-cfs-sh/smb_service/Game/1058650_BeyondtheWire.zip,69290.01,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
117,Grand Emprise: Time Travel Survival,Z:/jinmianye-cfs-sh/smb_service/Game/2236300_GrandEmpriseTimeTravelSurvival.zip,35190.8,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
168,VEILED EXPERTS,Z:/jinmianye-cfs-sh/smb_service/Game/1934780_VEILEDEXPERTS.zip,22442.84,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
196,Junkyard Simulator,Z:/jinmianye-cfs-sh/smb_service/Game/671970_JunkyardSimulator.zip,13186.55,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
208,Enotria: The Last Song,Z:/jinmianye-cfs-sh/smb_service/Game/2102450_enotriathelastsong.zip,12299.34,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
209,Shoulders of Giants: Ultimate,Z:/jinmianye-cfs-sh/smb_service/Game/2283880_shouldersofgiantsultimate.zip,7044.27,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
210,Pirates Journey,Z:/jinmianye-cfs-sh/smb_service/Game/2099670_piratesjourney.zip,3818.58,completed,C:/Dumper-7\5.0.3-20979098+++UE5+Release-5.0-Pirates_Journey\Mappings\5.0.3-20979098+++UE5+Release-5.0-Pirates_Journey.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 13:30:40
212,Remnant II,Z:/jinmianye-cfs-sh/smb_service/Game/1282100_remnant.zip,87094.26,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
214,DRAGON BALL: Sparking! ZERO,Z:/jinmianye-cfs-sh/smb_service/Game/1790600_dragonballsparking.zip,28728.95,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
219,DeathSprint 66,Z:/jinmianye-cfs-sh/smb_service/Game/1273560_deathsprint.zip,8424.66,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
223,Stray Souls,Z:/jinmianye-cfs-sh/smb_service/Game/1807210_straysouls.zip,30692.43,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
226,No One Survived,Z:/jinmianye-cfs-sh/smb_service/Game/1963370_noonesurvived.zip,23074.44,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
227,Still Wakes the Deep,Z:/jinmianye-cfs-sh/smb_service/Game/1622910_stillwakesthedeep.zip,8920.13,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
228,First Dwarf,Z:/jinmianye-cfs-sh/smb_service/Game/1714900_firstdwarf.zip,4724.36,completed,C:/Dumper-7\5.4.4-35576357+++UE5+Release-5.4-FirstDwarf\Mappings\5.4.4-35576357+++UE5+Release-5.4-FirstDwarf.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 13:57:51
232,Immortals of Aveum™,Z:/jinmianye-cfs-sh/smb_service/Game/2009100_immortalsofaveum.zip,57221.46,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
239,Man in the Dark,Z:/jinmianye-cfs-sh/smb_service/Game/2694920_maninthedark.zip,4132.9,completed,C:/Dumper-7\5.1.1-23901901+++UE5+Release-5.1-ManInTheDark\Mappings\5.1.1-23901901+++UE5+Release-5.1-ManInTheDark.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 13:37:59
243,Industry Giant 4.0,Z:/jinmianye-cfs-sh/smb_service/Game/1129570_industrygiant.zip,12828.14,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
246,Empire of the Ants,Z:/jinmianye-cfs-sh/smb_service/Game/2287330_empireoftheants.zip,37823.57,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
247,The Talos Principle 2,Z:/jinmianye-cfs-sh/smb_service/Game/835960_thetalosprinciple.zip,104203.75,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
248,Metro Awakening,Z:/jinmianye-cfs-sh/smb_service/Game/2669410_metroawakening.zip,27001.06,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
256,Granny Remake,Z:/jinmianye-cfs-sh/smb_service/Game/2110820_grannyremake.zip,1935.9,completed,C:/Dumper-7\5.3.2-29314046+++UE5+Release-5.3-Granny\Mappings\5.3.2-29314046+++UE5+Release-5.3-Granny.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 12:06:04
257,The Seven Awakenings: I Randall,Z:/jinmianye-cfs-sh/smb_service/Game/2259290_thesevenawakenings.zip,3741.51,error,,Game crashed during DLL injection,2025-05-07 13:24:47
258,Jonesville,Z:/jinmianye-cfs-sh/smb_service/Game/2855500_jonesville.zip,1626.92,completed,C:/Dumper-7\5.3.2-29314046+++UE5+Release-5.3-jonesvilleUE\Mappings\5.3.2-29314046+++UE5+Release-5.3-jonesvilleUE.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:46:15
259,The Cursed Legacy,Z:/jinmianye-cfs-sh/smb_service/Game/2824210_thecursedlegacy.zip,1763.65,completed,C:/Dumper-7\5.3.2-29314046+++UE5+Release-5.3-TheCursedLegacy\Mappings\5.3.2-29314046+++UE5+Release-5.3-TheCursedLegacy.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 12:02:12
266,Bastide,Z:/jinmianye-cfs-sh/smb_service/Game/1115450_bastide.zip,3351.92,completed,C:/Dumper-7\5.4.4-35576357+++UE5+Release-5.4-Bastide\Mappings\5.4.4-35576357+++UE5+Release-5.4-Bastide.usmap,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 13:05:05
270,Cat Simulator : Animals on Farm,Z:/jinmianye-cfs-sh/smb_service/Game/1119730_ranchsimulator.zip,10787.61,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
274,ALTF4,Z:/jinmianye-cfs-sh/smb_service/Game/1137460_altf.zip,19377.94,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
275,The Thaumaturge,Z:/jinmianye-cfs-sh/smb_service/Game/1684350_thethaumaturge.zip,22382.97,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
278,Last Whisper,Z:/jinmianye-cfs-sh/smb_service/Game/2172320_lastwhisper.zip,12674.62,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
279,Witch's Doll,Z:/jinmianye-cfs-sh/smb_service/Game/2892000_witchsdoll.zip,9134.09,unprocessed,,"step 1: Stop because game requires us_map, provide us_map to continue",2025-05-07 11:00:48
